Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
AST Consultant ,IKS-Health,6-15yrs  ,"2,35,179",1.2,3.5,3.8,94
Assistant System Engineer ,IKS-Health,0-4yrs  ,"2,82,965",1.1,5.2,3.8,94
Associate Consultant ,IKS-Health,4-21yrs  ,"4,47,042",1.9,6.5,3.8,94
Senior Process Associate ,IKS-Health,0-11yrs  ,"3,57,131",1.9,5.5,3.8,94
Software Engineer ,IKS-Health,0-8yrs  ,"6,24,052",3.2,9.5,3.8,94
Process Associate ,IKS-Health,0-9yrs  ,"3,08,958",1.5,5.6,3.8,94
Software Developer ,IKS-Health,0-9yrs  ,"5,06,831",2.3,7.5,3.8,94
System Engineer Hardware ,IKS-Health,0-6yrs  ,"3,60,058",2.3,6.0,3.8,94
System Engineer ,Mahindra-Logistics,0-10yrs  ,"6,54,510",1.7,15.5,3.8,93
IT Analyst ,Mahindra-Logistics,3-11yrs  ,"11,64,536",50.0,26.0,3.8,93
AST Consultant ,Mahindra-Logistics,6-15yrs  ,"17,97,590",4.4,34.0,3.8,93
Assistant System Engineer ,Mahindra-Logistics,0-4yrs  ,"7,28,773",2.0,20.0,3.8,93
Associate Consultant ,Mahindra-Logistics,4-21yrs  ,"4,49,751",1.7,9.6,3.8,93
Senior Process Associate ,Mahindra-Logistics,0-11yrs  ,"5,53,291",1.8,12.0,3.8,93
Software Engineer ,Mahindra-Logistics,0-8yrs  ,"9,83,362",15.0,41.5,3.8,93
Process Associate ,Mahindra-Logistics,0-9yrs  ,"2,58,081",10.0,7.5,3.8,93
Software Developer ,Mahindra-Logistics,0-9yrs  ,"2,48,876",10.0,12.0,3.8,93
System Engineer Hardware ,Mahindra-Logistics,0-6yrs  ,"7,14,189",1.2,17.0,3.8,93
System Engineer ,Yazaki,0-10yrs  ,"3,37,753",1.3,5.1,3.7,93
IT Analyst ,Yazaki,3-11yrs  ,"3,42,653",1.2,6.2,3.7,93
AST Consultant ,Yazaki,6-15yrs  ,"1,88,714",1.1,2.5,3.7,93
Assistant System Engineer ,Yazaki,0-4yrs  ,"2,75,099",1.0,5.5,3.7,93
Associate Consultant ,Yazaki,4-21yrs  ,"6,49,333",3.8,9.0,3.7,93
Senior Process Associate ,Yazaki,0-11yrs  ,"2,17,481",80.0,12.0,3.7,93
Software Engineer ,Yazaki,0-8yrs  ,"3,71,460",1.6,8.2,3.7,93
Process Associate ,Yazaki,0-9yrs  ,"1,51,399",10.0,2.6,3.7,93
Software Developer ,Yazaki,0-9yrs  ,"11,87,001",7.1,16.0,3.7,93
System Engineer Hardware ,Yazaki,0-6yrs  ,"3,78,156",1.5,7.3,3.7,93
System Engineer ,XpressBees,0-10yrs  ,"2,13,108",10.0,15.0,3.3,93
IT Analyst ,XpressBees,3-11yrs  ,"3,34,399",1.4,5.2,3.3,93
AST Consultant ,XpressBees,6-15yrs  ,"4,50,436",2.7,6.0,3.3,93
Assistant System Engineer ,XpressBees,0-4yrs  ,"2,66,001",1.5,3.6,3.3,93
Associate Consultant ,XpressBees,4-21yrs  ,"1,86,676",8.5,5.0,3.3,93
Senior Process Associate ,XpressBees,0-11yrs  ,"4,33,039",2.5,5.3,3.3,93
Software Engineer ,XpressBees,0-8yrs  ,"2,89,633",1.0,4.2,3.3,93
Process Associate ,XpressBees,0-9yrs  ,"2,36,830",1.5,3.6,3.3,93
Software Developer ,XpressBees,0-9yrs  ,"3,40,309",1.8,4.1,3.3,93
System Engineer Hardware ,XpressBees,0-6yrs  ,"6,38,669",2.6,11.2,3.3,93
System Engineer ,PVR-Cinemas,0-10yrs  ,"3,76,094",1.8,5.5,3.1,92
IT Analyst ,PVR-Cinemas,3-11yrs  ,"2,67,857",95.0,4.4,3.1,92
AST Consultant ,PVR-Cinemas,6-15yrs  ,"1,60,969",10.0,4.0,3.1,92
Assistant System Engineer ,PVR-Cinemas,0-4yrs  ,"3,06,637",2.0,4.5,3.1,92
Associate Consultant ,PVR-Cinemas,4-21yrs  ,"3,58,781",2.1,4.5,3.1,92
Senior Process Associate ,PVR-Cinemas,0-11yrs  ,"2,44,432",1.2,4.0,3.1,92
Software Engineer ,PVR-Cinemas,0-8yrs  ,"3,13,949",1.0,6.0,3.1,92
Process Associate ,PVR-Cinemas,0-9yrs  ,"2,56,232",50.0,4.9,3.1,92
Software Developer ,PVR-Cinemas,0-9yrs  ,"3,54,139",2.0,4.6,3.1,92
System Engineer Hardware ,PVR-Cinemas,0-6yrs  ,"3,37,979",1.9,4.1,3.1,92
System Engineer ,HCL-Infosystems,0-10yrs  ,"12,73,160",6.8,20.0,4.1,92
IT Analyst ,HCL-Infosystems,3-11yrs  ,"4,69,005",2.0,9.2,4.1,92
AST Consultant ,HCL-Infosystems,6-15yrs  ,"4,70,749",2.6,8.0,4.1,92
Assistant System Engineer ,HCL-Infosystems,0-4yrs  ,"8,63,275",5.0,15.3,4.1,92
Associate Consultant ,HCL-Infosystems,4-21yrs  ,"8,96,591",3.0,15.5,4.1,92
Senior Process Associate ,HCL-Infosystems,0-11yrs  ,"7,94,704",4.0,14.0,4.1,92
Software Engineer ,HCL-Infosystems,0-8yrs  ,"3,12,797",1.8,6.3,4.1,92
Process Associate ,HCL-Infosystems,0-9yrs  ,"12,12,305",6.4,18.5,4.1,92
Software Developer ,HCL-Infosystems,0-9yrs  ,"2,70,289",1.6,4.3,4.1,92
System Engineer Hardware ,HCL-Infosystems,0-6yrs  ,"2,61,948",75.0,8.3,4.1,92
System Engineer ,Datamatics-Global-Services,0-10yrs  ,"7,79,124",1.8,16.0,4.3,92
IT Analyst ,Datamatics-Global-Services,3-11yrs  ,"2,41,685",1.1,3.7,4.3,92
AST Consultant ,Datamatics-Global-Services,6-15yrs  ,"16,24,861",5.0,28.3,4.3,92
Assistant System Engineer ,Datamatics-Global-Services,0-4yrs  ,"8,16,423",2.0,18.5,4.3,92
Associate Consultant ,Datamatics-Global-Services,4-21yrs  ,"2,29,182",10.0,4.3,4.3,92
Senior Process Associate ,Datamatics-Global-Services,0-11yrs  ,"12,78,237",3.0,20.0,4.3,92
Software Engineer ,Datamatics-Global-Services,0-8yrs  ,"4,92,115",1.5,10.0,4.3,92
Process Associate ,Datamatics-Global-Services,0-9yrs  ,"8,66,096",3.1,16.0,4.3,92
Software Developer ,Datamatics-Global-Services,0-9yrs  ,"2,10,337",15.0,12.0,4.3,92
System Engineer Hardware ,Datamatics-Global-Services,0-6yrs  ,"2,15,363",75.0,3.8,4.3,92
System Engineer ,V-Mart,0-10yrs  ,"3,11,787",1.6,5.0,3.7,90
IT Analyst ,V-Mart,3-11yrs  ,"5,23,160",2.9,7.0,3.7,90
AST Consultant ,V-Mart,6-15yrs  ,"1,86,772",30.0,3.6,3.7,90
Assistant System Engineer ,V-Mart,0-4yrs  ,"1,89,838",90.0,3.2,3.7,90
Associate Consultant ,V-Mart,4-21yrs  ,"5,36,359",3.0,6.8,3.7,90
Senior Process Associate ,V-Mart,0-11yrs  ,"1,49,861",75.0,5.0,3.7,90
Software Engineer ,V-Mart,0-8yrs  ,"1,86,079",95.0,3.1,3.7,90
Process Associate ,V-Mart,0-9yrs  ,"1,38,185",20.0,3.5,3.7,90
Software Developer ,V-Mart,0-9yrs  ,"12,01,815",5.8,16.0,3.7,90
System Engineer Hardware ,V-Mart,0-6yrs  ,"1,73,987",15.0,10.2,3.7,90
System Engineer ,Parle-Agro,0-10yrs  ,"2,32,760",1.1,3.8,3.6,90
IT Analyst ,Parle-Agro,3-11yrs  ,"4,86,002",2.8,7.8,3.6,90
AST Consultant ,Parle-Agro,6-15yrs  ,"2,38,805",1.3,5.2,3.6,90
Assistant System Engineer ,Parle-Agro,0-4yrs  ,"4,09,263",2.0,6.5,3.6,90
Associate Consultant ,Parle-Agro,4-21yrs  ,"2,22,213",1.0,3.9,3.6,90
Senior Process Associate ,Parle-Agro,0-11yrs  ,"4,60,320",3.0,5.8,3.6,90
Software Engineer ,Parle-Agro,0-8yrs  ,"2,89,615",1.8,4.0,3.6,90
Process Associate ,Parle-Agro,0-9yrs  ,"4,81,614",3.5,6.1,3.6,90
Software Developer ,Parle-Agro,0-9yrs  ,"4,72,027",2.9,6.0,3.6,90
System Engineer Hardware ,Parle-Agro,0-6yrs  ,"9,50,952",6.5,12.8,3.6,90
System Engineer ,DS-Group,0-10yrs  ,"3,46,822",1.5,5.2,3.9,90
IT Analyst ,DS-Group,3-11yrs  ,"4,06,933",2.4,5.7,3.9,90
AST Consultant ,DS-Group,6-15yrs  ,"9,50,263",3.4,13.0,3.9,90
Assistant System Engineer ,DS-Group,0-4yrs  ,"3,82,892",15.0,6.0,3.9,90
Associate Consultant ,DS-Group,4-21yrs  ,"8,88,988",5.0,13.5,3.9,90
Senior Process Associate ,DS-Group,0-11yrs  ,"5,06,718",3.0,7.0,3.9,90
Software Engineer ,DS-Group,0-8yrs  ,"3,98,477",2.5,4.9,3.9,90
Process Associate ,DS-Group,0-9yrs  ,"3,15,539",2.4,4.2,3.9,90
Software Developer ,DS-Group,0-9yrs  ,"6,03,859",3.3,7.9,3.9,90
System Engineer Hardware ,DS-Group,0-6yrs  ,"3,93,051",1.9,5.4,3.9,90
System Engineer ,Barclays,0-10yrs  ,"28,96,305",12.0,42.6,4.0,89
IT Analyst ,Barclays,3-11yrs  ,"7,03,594",3.0,18.7,4.0,89
AST Consultant ,Barclays,6-15yrs  ,"4,44,031",1.0,9.0,4.0,89
Assistant System Engineer ,Barclays,0-4yrs  ,"11,16,260",2.0,25.3,4.0,89
Associate Consultant ,Barclays,4-21yrs  ,"16,06,343",1.7,35.0,4.0,89
Senior Process Associate ,Barclays,0-11yrs  ,"31,49,312",14.0,40.5,4.0,89
Software Engineer ,Barclays,0-8yrs  ,"29,84,919",11.2,46.0,4.0,89
Process Associate ,Barclays,0-9yrs  ,"13,35,306",5.6,25.3,4.0,89
Software Developer ,Barclays,0-9yrs  ,"6,12,417",3.1,8.0,4.0,89
System Engineer Hardware ,Barclays,0-6yrs  ,"21,64,935",7.5,32.0,4.0,89
System Engineer ,Zomato,0-10yrs  ,"2,31,808",10.0,30.0,3.7,89
IT Analyst ,Zomato,3-11yrs  ,"10,56,180",4.7,14.2,3.7,89
AST Consultant ,Zomato,6-15yrs  ,"10,67,071",4.0,15.0,3.7,89
Assistant System Engineer ,Zomato,0-4yrs  ,"10,22,048",4.0,13.2,3.7,89
Associate Consultant ,Zomato,4-21yrs  ,"6,07,485",3.0,14.0,3.7,89
Senior Process Associate ,Zomato,0-11yrs  ,"7,75,129",4.0,11.5,3.7,89
Software Engineer ,Zomato,0-8yrs  ,"5,30,869",50.0,13.9,3.7,89
Process Associate ,Zomato,0-9yrs  ,"5,09,839",2.0,7.0,3.7,89
Software Developer ,Zomato,0-9yrs  ,"2,00,201",10.0,5.0,3.7,89
System Engineer Hardware ,Zomato,0-6yrs  ,"10,65,594",5.0,14.0,3.7,89
System Engineer ,Kalpataru-Power-Transmission,0-10yrs  ,"6,51,439",2.4,12.0,4.1,89
IT Analyst ,Kalpataru-Power-Transmission,3-11yrs  ,"10,88,433",4.5,20.0,4.1,89
AST Consultant ,Kalpataru-Power-Transmission,6-15yrs  ,"4,35,440",1.8,6.0,4.1,89
Assistant System Engineer ,Kalpataru-Power-Transmission,0-4yrs  ,"4,15,210",2.0,6.5,4.1,89
Associate Consultant ,Kalpataru-Power-Transmission,4-21yrs  ,"3,63,008",2.3,5.7,4.1,89
Senior Process Associate ,Kalpataru-Power-Transmission,0-11yrs  ,"3,49,245",1.4,5.5,4.1,89
Software Engineer ,Kalpataru-Power-Transmission,0-8yrs  ,"3,82,061",2.0,6.5,4.1,89
Process Associate ,Kalpataru-Power-Transmission,0-9yrs  ,"9,24,700",5.0,15.0,4.1,89
Software Developer ,Kalpataru-Power-Transmission,0-9yrs  ,"14,77,083",5.4,25.0,4.1,89
System Engineer Hardware ,Kalpataru-Power-Transmission,0-6yrs  ,"3,29,767",2.0,4.8,4.1,89
System Engineer ,Indian-Railways,0-10yrs  ,"11,93,357",4.7,20.0,3.7,88
IT Analyst ,Indian-Railways,3-11yrs  ,"7,96,783",1.2,15.0,3.7,88
AST Consultant ,Indian-Railways,6-15yrs  ,"3,87,514",15.0,5.8,3.7,88
Assistant System Engineer ,Indian-Railways,0-4yrs  ,"1,47,725",20.0,7.0,3.7,88
Associate Consultant ,Indian-Railways,4-21yrs  ,"1,67,775",15.0,4.5,3.7,88
Senior Process Associate ,Indian-Railways,0-11yrs  ,"1,34,174",70.0,3.1,3.7,88
Software Engineer ,Indian-Railways,0-8yrs  ,"1,34,165",60.0,2.7,3.7,88
Process Associate ,Indian-Railways,0-9yrs  ,"2,00,204",10.0,4.1,3.7,88
Software Developer ,Indian-Railways,0-9yrs  ,"1,72,215",80.0,6.0,3.7,88
System Engineer Hardware ,Indian-Railways,0-6yrs  ,"1,47,234",10.0,3.1,3.7,88
System Engineer ,Ambuja-Cements,0-10yrs  ,"5,22,530",1.8,7.8,3.9,88
IT Analyst ,Ambuja-Cements,3-11yrs  ,"5,18,929",2.4,7.3,3.9,88
AST Consultant ,Ambuja-Cements,6-15yrs  ,"12,30,842",5.8,20.0,3.9,88
Assistant System Engineer ,Ambuja-Cements,0-4yrs  ,"3,50,060",1.9,6.4,3.9,88
Associate Consultant ,Ambuja-Cements,4-21yrs  ,"3,83,912",2.2,6.0,3.9,88
Senior Process Associate ,Ambuja-Cements,0-11yrs  ,"7,36,046",4.5,10.5,3.9,88
Software Engineer ,Ambuja-Cements,0-8yrs  ,"7,58,201",4.5,11.0,3.9,88
Process Associate ,Ambuja-Cements,0-9yrs  ,"5,74,582",2.9,6.8,3.9,88
Software Developer ,Ambuja-Cements,0-9yrs  ,"4,61,054",2.4,7.4,3.9,88
System Engineer Hardware ,Ambuja-Cements,0-6yrs  ,"3,23,225",2.2,4.0,3.9,88
System Engineer ,SRF,0-10yrs  ,"5,79,636",2.2,8.7,4.1,88
IT Analyst ,SRF,3-11yrs  ,"4,13,238",1.9,6.2,4.1,88
AST Consultant ,SRF,6-15yrs  ,"3,70,283",1.7,5.1,4.1,88
Assistant System Engineer ,SRF,0-4yrs  ,"4,62,647",2.1,7.2,4.1,88
Associate Consultant ,SRF,4-21yrs  ,"5,49,837",3.0,7.3,4.1,88
Senior Process Associate ,SRF,0-11yrs  ,"4,15,223",1.9,5.3,4.1,88
Software Engineer ,SRF,0-8yrs  ,"8,22,258",4.2,11.3,4.1,88
Process Associate ,SRF,0-9yrs  ,"4,20,747",2.2,5.3,4.1,88
Software Developer ,SRF,0-9yrs  ,"4,62,193",3.0,6.1,4.1,88
System Engineer Hardware ,SRF,0-6yrs  ,"5,06,004",2.8,7.3,4.1,88
System Engineer ,Reliance-Trends,0-10yrs  ,"6,13,573",3.2,9.0,3.2,87
IT Analyst ,Reliance-Trends,3-11yrs  ,"3,62,376",2.1,5.4,3.2,87
AST Consultant ,Reliance-Trends,6-15yrs  ,"2,17,735",90.0,12.5,3.2,87
Assistant System Engineer ,Reliance-Trends,0-4yrs  ,"6,66,245",3.4,9.0,3.2,87
Associate Consultant ,Reliance-Trends,4-21yrs  ,"1,61,619",10.0,3.0,3.2,87
Senior Process Associate ,Reliance-Trends,0-11yrs  ,"2,11,765",10.0,5.0,3.2,87
Software Engineer ,Reliance-Trends,0-8yrs  ,"1,44,410",8.5,2.5,3.2,87
Process Associate ,Reliance-Trends,0-9yrs  ,"2,28,218",1.0,6.0,3.2,87
Software Developer ,Reliance-Trends,0-9yrs  ,"1,75,693",80.0,3.6,3.2,87
System Engineer Hardware ,Reliance-Trends,0-6yrs  ,"2,27,033",95.0,4.7,3.2,87
System Engineer ,Shriram-City,0-10yrs  ,"2,23,941",95.0,4.5,4.3,87
IT Analyst ,Shriram-City,3-11yrs  ,"2,18,388",10.0,3.3,4.3,87
AST Consultant ,Shriram-City,6-15yrs  ,"3,97,095",1.9,6.3,4.3,87
Assistant System Engineer ,Shriram-City,0-4yrs  ,"2,32,537",25.0,6.1,4.3,87
Associate Consultant ,Shriram-City,4-21yrs  ,"2,27,038",1.1,4.0,4.3,87
Senior Process Associate ,Shriram-City,0-11yrs  ,"2,21,975",15.0,3.5,4.3,87
Software Engineer ,Shriram-City,0-8yrs  ,"2,15,485",90.0,3.5,4.3,87
Process Associate ,Shriram-City,0-9yrs  ,"3,92,274",1.8,6.0,4.3,87
Software Developer ,Shriram-City,0-9yrs  ,"2,27,515",1.1,3.2,4.3,87
System Engineer Hardware ,Shriram-City,0-6yrs  ,"2,36,439",1.2,3.3,4.3,87
System Engineer ,Whirlpool,0-10yrs  ,"13,34,530",6.0,20.0,4.2,86
IT Analyst ,Whirlpool,3-11yrs  ,"12,37,325",4.8,18.0,4.2,86
AST Consultant ,Whirlpool,6-15yrs  ,"3,84,222",1.8,7.5,4.2,86
Assistant System Engineer ,Whirlpool,0-4yrs  ,"9,56,077",5.0,13.2,4.2,86
Associate Consultant ,Whirlpool,4-21yrs  ,"2,50,805",50.0,5.0,4.2,86
Senior Process Associate ,Whirlpool,0-11yrs  ,"10,72,154",4.5,14.1,4.2,86
Software Engineer ,Whirlpool,0-8yrs  ,"5,65,001",3.9,6.5,4.2,86
Process Associate ,Whirlpool,0-9yrs  ,"7,51,471",3.9,11.0,4.2,86
Software Developer ,Whirlpool,0-9yrs  ,"11,77,224",5.4,17.1,4.2,86
System Engineer Hardware ,Whirlpool,0-6yrs  ,"24,00,260",14.3,33.0,4.2,86
System Engineer ,ICICI-Securities,0-10yrs  ,"3,95,478",30.0,7.0,3.8,86
IT Analyst ,ICICI-Securities,3-11yrs  ,"3,40,993",2.3,4.7,3.8,86
AST Consultant ,ICICI-Securities,6-15yrs  ,"2,97,281",1.8,4.3,3.8,86
Assistant System Engineer ,ICICI-Securities,0-4yrs  ,"4,33,972",3.3,5.0,3.8,86
Associate Consultant ,ICICI-Securities,4-21yrs  ,"4,46,100",3.0,6.0,3.8,86
Senior Process Associate ,ICICI-Securities,0-11yrs  ,"3,97,970",2.3,5.1,3.8,86
Software Engineer ,ICICI-Securities,0-8yrs  ,"6,21,018",4.4,9.0,3.8,86
Process Associate ,ICICI-Securities,0-9yrs  ,"6,67,014",4.8,8.8,3.8,86
Software Developer ,ICICI-Securities,0-9yrs  ,"4,90,010",3.5,5.5,3.8,86
System Engineer Hardware ,ICICI-Securities,0-6yrs  ,"9,32,115",6.5,11.0,3.8,86
System Engineer ,Kansai-Nerolac-Paints,0-10yrs  ,"6,16,916",2.8,9.8,4.2,86
IT Analyst ,Kansai-Nerolac-Paints,3-11yrs  ,"14,83,404",6.3,22.0,4.2,86
AST Consultant ,Kansai-Nerolac-Paints,6-15yrs  ,"4,92,895",3.0,6.8,4.2,86
Assistant System Engineer ,Kansai-Nerolac-Paints,0-4yrs  ,"7,70,053",4.3,10.7,4.2,86
Associate Consultant ,Kansai-Nerolac-Paints,4-21yrs  ,"7,32,515",4.6,10.1,4.2,86
Senior Process Associate ,Kansai-Nerolac-Paints,0-11yrs  ,"5,37,002",3.3,7.0,4.2,86
Software Engineer ,Kansai-Nerolac-Paints,0-8yrs  ,"7,82,469",4.4,10.5,4.2,86
Process Associate ,Kansai-Nerolac-Paints,0-9yrs  ,"5,41,766",2.4,8.5,4.2,86
Software Developer ,Kansai-Nerolac-Paints,0-9yrs  ,"5,26,151",3.2,7.2,4.2,86
System Engineer Hardware ,Kansai-Nerolac-Paints,0-6yrs  ,"4,99,453",2.2,11.0,4.2,86
System Engineer ,Myntra,0-10yrs  ,"2,44,307",1.2,4.5,4.0,86
IT Analyst ,Myntra,3-11yrs  ,"2,18,947",10.0,12.4,4.0,86
AST Consultant ,Myntra,6-15yrs  ,"12,67,908",2.7,19.0,4.0,86
Assistant System Engineer ,Myntra,0-4yrs  ,"5,76,327",2.8,7.5,4.0,86
Associate Consultant ,Myntra,4-21yrs  ,"2,22,073",15.0,3.5,4.0,86
Senior Process Associate ,Myntra,0-11yrs  ,"30,67,771",10.0,43.0,4.0,86
Software Engineer ,Myntra,0-8yrs  ,"1,64,752",10.0,9.6,4.0,86
Process Associate ,Myntra,0-9yrs  ,"2,86,041",1.2,4.3,4.0,86
Software Developer ,Myntra,0-9yrs  ,"4,29,423",2.1,7.0,4.0,86
System Engineer Hardware ,Myntra,0-6yrs  ,"2,43,605",1.0,4.0,4.0,86
System Engineer ,Shell,0-10yrs  ,"25,74,156",3.7,41.0,4.3,85
IT Analyst ,Shell,3-11yrs  ,"18,41,532",7.3,36.5,4.3,85
AST Consultant ,Shell,6-15yrs  ,"13,93,711",3.4,20.7,4.3,85
Assistant System Engineer ,Shell,0-4yrs  ,"8,49,347",5.0,11.1,4.3,85
Associate Consultant ,Shell,4-21yrs  ,"36,33,298",21.0,47.2,4.3,85
Senior Process Associate ,Shell,0-11yrs  ,"8,00,069",4.8,12.0,4.3,85
Software Engineer ,Shell,0-8yrs  ,"14,04,497",8.5,19.0,4.3,85
Process Associate ,Shell,0-9yrs  ,"5,35,715",3.0,8.5,4.3,85
Software Developer ,Shell,0-9yrs  ,"27,18,866",5.6,42.0,4.3,85
System Engineer Hardware ,Shell,0-6yrs  ,"23,90,913",9.0,34.0,4.3,85
System Engineer ,Force-Motors,0-10yrs  ,"3,26,865",1.2,5.0,4.1,85
IT Analyst ,Force-Motors,3-11yrs  ,"7,12,604",4.1,10.0,4.1,85
AST Consultant ,Force-Motors,6-15yrs  ,"4,51,154",2.2,7.5,4.1,85
Assistant System Engineer ,Force-Motors,0-4yrs  ,"4,17,263",2.8,5.2,4.1,85
Associate Consultant ,Force-Motors,4-21yrs  ,"1,89,604",1.2,2.5,4.1,85
Senior Process Associate ,Force-Motors,0-11yrs  ,"1,89,804",1.2,2.3,4.1,85
Software Engineer ,Force-Motors,0-8yrs  ,"2,64,778",1.0,4.5,4.1,85
Process Associate ,Force-Motors,0-9yrs  ,"2,94,775",2.6,3.2,4.1,85
Software Developer ,Force-Motors,0-9yrs  ,"7,81,621",3.6,11.0,4.1,85
System Engineer Hardware ,Force-Motors,0-6yrs  ,"4,06,670",1.7,7.9,4.1,85
System Engineer ,Shahi-Exports,0-10yrs  ,"4,35,111",2.2,6.2,3.5,85
IT Analyst ,Shahi-Exports,3-11yrs  ,"2,99,109",1.8,4.2,3.5,85
AST Consultant ,Shahi-Exports,6-15yrs  ,"3,24,816",1.6,6.0,3.5,85
Assistant System Engineer ,Shahi-Exports,0-4yrs  ,"6,99,926",3.9,10.0,3.5,85
Associate Consultant ,Shahi-Exports,4-21yrs  ,"1,67,572",10.0,10.1,3.5,85
Senior Process Associate ,Shahi-Exports,0-11yrs  ,"3,66,086",2.0,5.0,3.5,85
Software Engineer ,Shahi-Exports,0-8yrs  ,"2,98,959",1.8,4.5,3.5,85
Process Associate ,Shahi-Exports,0-9yrs  ,"3,04,858",1.1,13.0,3.5,85
Software Developer ,Shahi-Exports,0-9yrs  ,"4,58,634",3.0,6.1,3.5,85
System Engineer Hardware ,Shahi-Exports,0-6yrs  ,"2,35,807",1.0,5.0,3.5,85
System Engineer ,Cadila-Pharmaceuticals,0-10yrs  ,"3,67,732",1.8,5.0,3.6,85
IT Analyst ,Cadila-Pharmaceuticals,3-11yrs  ,"3,25,390",1.5,4.5,3.6,85
AST Consultant ,Cadila-Pharmaceuticals,6-15yrs  ,"3,92,479",2.0,6.0,3.6,85
Assistant System Engineer ,Cadila-Pharmaceuticals,0-4yrs  ,"3,33,106",2.0,4.8,3.6,85
Associate Consultant ,Cadila-Pharmaceuticals,4-21yrs  ,"4,69,138",3.5,5.7,3.6,85
Senior Process Associate ,Cadila-Pharmaceuticals,0-11yrs  ,"6,44,434",3.8,9.0,3.6,85
Software Engineer ,Cadila-Pharmaceuticals,0-8yrs  ,"3,53,871",2.0,4.5,3.6,85
Process Associate ,Cadila-Pharmaceuticals,0-9yrs  ,"2,48,318",1.5,3.7,3.6,85
Software Developer ,Cadila-Pharmaceuticals,0-9yrs  ,"10,11,661",5.0,15.0,3.6,85
System Engineer Hardware ,Cadila-Pharmaceuticals,0-6yrs  ,"3,83,172",2.6,5.0,3.6,85
System Engineer ,Syngene-International,0-10yrs  ,"5,39,707",2.9,8.7,3.4,80
IT Analyst ,Syngene-International,3-11yrs  ,"4,20,430",2.2,6.4,3.4,80
AST Consultant ,Syngene-International,6-15yrs  ,"8,09,499",5.0,12.2,3.4,80
Assistant System Engineer ,Syngene-International,0-4yrs  ,"8,80,733",5.2,12.0,3.4,80
Associate Consultant ,Syngene-International,4-21yrs  ,"11,00,793",7.0,14.0,3.4,80
Senior Process Associate ,Syngene-International,0-11yrs  ,"4,20,839",2.7,6.5,3.4,80
Software Engineer ,Syngene-International,0-8yrs  ,"3,45,880",2.7,4.3,3.4,80
Process Associate ,Syngene-International,0-9yrs  ,"13,06,786",6.0,19.0,3.4,80
Software Developer ,Syngene-International,0-9yrs  ,"16,13,770",10.5,21.5,3.4,80
System Engineer Hardware ,Syngene-International,0-6yrs  ,"14,41,772",9.5,17.6,3.4,80
System Engineer ,Fujitsu,0-10yrs  ,"9,56,836",1.1,24.0,3.3,80
IT Analyst ,Fujitsu,3-11yrs  ,"8,75,499",2.5,20.8,3.3,80
AST Consultant ,Fujitsu,6-15yrs  ,"4,67,928",2.5,7.5,3.3,80
Assistant System Engineer ,Fujitsu,0-4yrs  ,"16,86,813",6.0,25.0,3.3,80
Associate Consultant ,Fujitsu,4-21yrs  ,"8,21,272",3.0,14.2,3.3,80
Senior Process Associate ,Fujitsu,0-11yrs  ,"16,01,397",8.1,21.5,3.3,80
Software Engineer ,Fujitsu,0-8yrs  ,"12,94,238",5.7,20.1,3.3,80
Process Associate ,Fujitsu,0-9yrs  ,"4,77,044",2.8,7.5,3.3,80
Software Developer ,Fujitsu,0-9yrs  ,"6,84,034",3.6,10.2,3.3,80
System Engineer Hardware ,Fujitsu,0-6yrs  ,"14,50,770",6.0,20.9,3.3,80
System Engineer ,Tata-Motors-Finance,0-10yrs  ,"2,83,987",95.0,5.0,4.4,80
IT Analyst ,Tata-Motors-Finance,3-11yrs  ,"7,50,534",4.0,12.0,4.4,80
AST Consultant ,Tata-Motors-Finance,6-15yrs  ,"2,37,314",1.0,4.2,4.4,80
Assistant System Engineer ,Tata-Motors-Finance,0-4yrs  ,"2,25,166",1.2,3.2,4.4,80
Associate Consultant ,Tata-Motors-Finance,4-21yrs  ,"4,14,405",3.0,6.0,4.4,80
Senior Process Associate ,Tata-Motors-Finance,0-11yrs  ,"7,22,748",4.1,10.1,4.4,80
Software Engineer ,Tata-Motors-Finance,0-8yrs  ,"2,24,413",1.2,3.5,4.4,80
Process Associate ,Tata-Motors-Finance,0-9yrs  ,"2,29,149",1.2,4.2,4.4,80
Software Developer ,Tata-Motors-Finance,0-9yrs  ,"5,34,265",3.4,8.5,4.4,80
System Engineer Hardware ,Tata-Motors-Finance,0-6yrs  ,"2,15,137",1.1,3.0,4.4,80
System Engineer ,Coromandel-International,0-10yrs  ,"11,51,071",6.0,16.5,3.4,79
IT Analyst ,Coromandel-International,3-11yrs  ,"2,91,347",1.5,4.3,3.4,79
AST Consultant ,Coromandel-International,6-15yrs  ,"5,29,037",3.0,8.2,3.4,79
Assistant System Engineer ,Coromandel-International,0-4yrs  ,"4,17,180",2.6,5.8,3.4,79
Associate Consultant ,Coromandel-International,4-21yrs  ,"4,18,516",2.5,5.3,3.4,79
Senior Process Associate ,Coromandel-International,0-11yrs  ,"6,25,441",3.5,8.0,3.4,79
Software Engineer ,Coromandel-International,0-8yrs  ,"3,98,231",2.3,5.5,3.4,79
Process Associate ,Coromandel-International,0-9yrs  ,"5,27,301",2.3,8.0,3.4,79
Software Developer ,Coromandel-International,0-9yrs  ,"3,12,464",1.1,5.5,3.4,79
